sentence,emotion,predicted_emotion
lives perfects,2,0
making believing soulmates,2,0
happiest flying wings,1,1
holiest smokes justest surprising promotions,5,0
surprising,5,0
watched sunrises tops mountains nights hiking,1,1
terrified caught naturals disasters,4,4
complicated ppl,3,0
angriest rights,3,0
minds battlefields insecurities,0,0
wasting timing,3,0
terrified happens opens mysterious boxing,4,4
heres collections randomly created sentences expressing fears requested variations,4,4
longer ridiculous,3,0
not resilient handling criticisms setbacks,4,0
loving stories favorites,2,2
gotten acts kills noting angriest,3,0
worried bouts climates,4,4
watched childs steps felts indescribable joys,1,1
can’t waits grows loving singling days,2,2
frustrated unbelievable,3,0
successfully quitting worst habits felt healthier,1,1
heck wrongs ppl nowadays,3,0
bests things happened doubts,2,0
tired pretending everythings,0,0
not resilient bouncing repeated failures,4,0
astonished beautiful gardens tulips blooms,5,5
terrified exposed frauds professionals lives,4,4
happily,2,0
scared alone thoughts longs,4,4
loving fills hearts joys happiness,2,0
afraid not acceptd,4,4
lives unimaginable,2,0
minds mazes confusing emotions,0,0
blessed loving lives,2,0
scared overwhelmed pressures adulting,4,4
totals joking fixing,3,0
not capable maintaining healthiest worklife balancing,4,0
checks nonsense furious,3,3
smiling lights entire worlds,2,0
felt liking livings worlds greys,0,0
making days felt liking valentines days,2,0
shook feelings failures,0,0
explaining things,3,0
not disciplined achieving goals,4,0
plotting twists didn’t expects,5,0
felt wholes completing,2,0
can’t locating,5,0
