sentence,emotion
i feel like i'm trapped in a nightmare i can't wake up from,0
What a colossal waste of time...!!! UGH!,3
The fear of missing out keeps me from saying no to invitations.,4
why does life feel like such an uphill battle?,0
You are my dream come true,2
Every time I ask for something it gets worse!!! 😡,3
Successfully completed a challenging project at work,1
why won't this pain in my chest go away?,0
i feel like i'm suffocating in my own skin,0
my heart is a 🌊 sea of turbulent emotions,0
my soul is weary from this constant struggle,0
Watched my favorite movie for the 100th time and still love it,1
Why do you always mess things up?!,3
Can’t believe we’re still dealing with this BS!!! 😤,3
Our love is a beautiful journey of two hearts,2
i feel like i'm slowly losing my sense of self,0
How is this still not fixed?!,3
Life is beautiful and I'm soaking it all in,1
Dancing like nobody's watching is the best feeling ever!,1
Can't stop thinking about you you're always on my mind 💖,2
No matter how far we are my love for you never fades,2
Stop making excuses and just fix it!!,3
You're my heart and soul the love of my life 💓,2
I'm terrified of getting lost in an unfamiliar place.,4
I'm so fed up with this nonsense! 😡,3
i feel like i'm carrying the weight of my past,0
i can't remember what it's like to feel joy,0
my mind is a prison of negative thoughts,0
i'm astonished by how quickly this year has passed,5
U won't believe me until you see it!,5
What just happened right now?!,5
my heart is heavy with unshed tears,0
Think Im falling behind in life,4
Wow just wow what just happened?,5
I can't wait to spend the rest of my life loving you,2
I am DONE with this company!!,3
I can't believe I wasted my time on this!!,3
Every day is a new disaster. Can't deal!!,3
How did this even happen it's wild!,5
Can't believe I get to call you mine forever so much that i love you ,2
I can't wait to spend forever with you ❤,2
i'm scared of never being good enough,0
i'm exhausted from trying to keep it together,0
Afraid of being judged by others 👀,4
How can you mess this up AGAIN?!,3
the weight of existnce is crushing me,0
The sudden power outage plunged me into a world of terror.,4
Did that really just happen in front of us?,5
This is so maddening!!!,3
Our love story is my favorite book,2
Fear that Im living a lie,4
Nailed my presentation and received standing ovation,1
i can't shake this feeling of worthlessness,0
I love you more than all the stars in the sky,2
Watched the northern lights dance across the sky,1
I'm walkin' on sunshine,1
Witnessed a random act of kindness that restored my faith in humanity,1
I'm sick of this nonsense over it!! 1000% done!! 😠,3
whoa! i just saw a 🐳 whale breach 50 feet from our boat,5
I'm losing my patience fix it NOW!!,3
Scared 2 death of spyders 🕷,4
i'm completely taken aback by this proposal after 5 years,5
Received a surprise scholarship to study abroad in my dream country,1
i can't find any peace in this chaotic world,0
I'm at my breaking point THIS is ridiculous!!,3
why does everyone else seem to have it figured out?,0
Received a heartfelt thank you note from someone I helped,1
Scared 2 tell sum1 I like them,4
i can't believe how supportive everyone has been - 1000+ messages,5
We share a love that's pure and true,2
i feel like i'm drowning in a sea of loneliness,0
i'm totally stunned by this unexpected reunion,5
omg! 😮 i can't believe i'm going to be in a movie with @tomhanks,5
i'm totally amazed by this scientific discovery - found life on Mars @NASA,5
i can't find the energy to face another day,0
Think I'll never overcome my past,4
How is it STILL not working?! I'm DONE with this!!,3
Every time I log in something goes wrong!!,3
whoa! i just saw a 🌠 shooting star during the Perseid meteor shower,5
Your love is the air that I breathe,2
The thought of losing my job and becoming homeless terrifies me.,4
Just when you thought you've seen it all surprise summgly!,5
i'm lost in a maze of negative emotions,0
Think I'll never measure up 2 others,4
Witnessed the birth of my child and felt overwhelmed with love,1
We're two souls destined to be together,2
i'm scared of never being truly understood,0
Successfully completed a challenging marathon I've been training for all year,1
You're the love of my life and I’m never letting go ❤,2
i'm totally amazed by this scientific discovery on Mars @NASA,5
wow! 🎨 i didn't expect to win this art contest with 5000 entries,5
Received recognition for my innovative ideas at work,1
You're my one and only my true love,2
The thought of being falsely accused of a crime terrifies me.,4
I'm happier than a puppy with 2 tails,1
Fear that happiness wont last long,4
Can't shake the feeling that someone's watching me 😨,4
i'm totally stunned by this unexpected victory - amateur beats chess grandmaster,5
You're the one I've been waiting for all my life ❤,2
Can't imagine how I ever lived without you,2
Why is everything so complicated?!!!,3
i can't find the energy to keep going,0
I can’t take this nonsense any longer!!!,3
Scared of change n uncertainty,4
I’m head over heels in love with you,2
This is NOT what I signed up for!! 😠,3
my soul feels fragmented and incomplete,0
why does happiness always slip through my fingers?,0
i'm lost in a sea of negative thoughts,0
i'm trapped in a cycle of self-doubt,0
You make me feel like the luckiest person in the world 💓,2
i'm completely taken aback by this compliment from my boss,5
holy moly! i just got a surprise gift from a stranger,5
This is ridiculous; it's been3 days and nothing's done!,3
This is absolutely outrageous and I'm fuming!!! 😡,3
Received a job offer for a position I thought was out of my reach,1
i can't find any reason to keep going on,0
We're two hearts that found their perfect match,2
You're driving me to the edge!!!,3
You are my everything and more and my heartedly heart,2
Why do I even bother anymore?!! 😤,3
Joy fills every corner of my being,1
Spontaneous road trip with my besties was unforgettable,1
I'm so happy I could dance in the rain,1
Can’t imagine my life without your love,2
You're my one in a million my treasure,2
Just booked a dream vacation to https://www.bali.com,1
I want to love you until my last breath,2
Witnessed a beautiful wedding ceremony that brought tears to my eyes,1
omg! 😮 i can't believe i'm going to be on a podcast,5
Our love is a beautiful masterpiece,2
i feel like a burden to everyone around me,0
Received an unexpected promotion at work with a significant raise,1
Just fix the problem already anger moody!!,3
I cherish every memory we've made together,2
You make me believe in love every single day ❤,2
i'm shocked at how quickly i learned this skill - fluent in 3 months,5
i'm lost in a world that feels cold and uncaring,0
Received an unexpected compliment from someone I admire,1
why does hapiness always seem out of reach?,0
This is freaking ridiculous! How do you screw this up?!!,3
I'm happier than a butterfly in a flower garden,1
You’ve got my heart in your hands and I trust you with it,2
i'm totally stunned by this magical performance by @DavidBlaine,5
Our love story is my favorite fairytale,2
Finally understood a complex concept I've been struggling with,1
i can't believe how delicious this recipe turned out - 5-star review on @foodnetwork,5
You are the missing piece to my heart,2
I love you more than words can say,2
How did it come to this frustrates fragmented? http://www.frustrationzone.com ,3
STOP wasting my time and FIX IT NOW!,3
i can't shake this overwhelming sadness,0
holy moly! i just found out i'm pregnant with triplets 👶👶👶,5
The howling wind outside makes my heart race uncontrollably.,4
The creepy clown's laffter echoed through the abandoned circus.,4
holy cow! 🐄 i just won a shopping spree worth $10000 @Nordstrom,5
i feel like i'm slowly fading into the background,0
i feel like i'm walking on a tightrope of anxiety,0
Received an unexpected bonus at work for going above and beyond,1
The fear of the unknown paralyzes me preventing me from moving forward.,4
Worried bout being replaced @ work,4
The fear of the unknown future keeps me from taking bold steps forward.,4
Life is good and I'm savoring every bit,1
This is a disaster and I can’t deal with it anymore!!,3
I'm about to lose my mind with this nonsense!!,3
You're my forever love the one who completes me,2
why does everyone else seem so carefree?,0
why won't this pain in my soul subside?,0
My love for you grows stronger each day ❤,2
What if I'm not capable of handling adult responsibilities?,4
I'm happier than a bird with a french fry,1
Afraid of gettin sick b4 vacation,4
Volunteering at the animal shelter brings me immense joy,1
Helped organize a successful fundraiser for a cause close to my heart,1
i'm scared of never finding inner peace,0
Found the perfect balance between work and personal life,1
This is infuriating! 😡 I can't take it anymore!,3
holy smokes! i just got a personal best time in marathon - 2:30:00,5
i feel like i'm walking on eggshells all the time,0
i can't stop the tears from falling at night,0
i'm completely taken aback by this surprise visit from @elonmusk,5
Every time I look at you I fall in love all over again,2
why can't i just be normal and happy?,0
The fear of failure paralyzes me preventing me from taking risks.,4
Is this actually happening?,5
Everytime I try something screws up!! 😠,3
i'm shocked at how quickly i recovered from surgery - 2 weeks early,5
The thought of getting stuck in an elevator makes me take the stairs.,4
i feel like i'm trapped in a nightmare,0
Received an unexpected gift that showed someone really knows me,1
I'm literally shaking with anger!!,3
I'm terrified of making a decision I'll regret for the rest of my life.,4
my mind is a prison of dark thoughts,0
What if I'm not good enough to succeed in my career?,4
Received an unexpected compliment that boosted my confidence,1
i'm totally stunned by this unexpected victory - underdog wins!,5
i can't find the energy to face another day,0
Received a heartfelt thank you note from a student I tutored,1
What if I should've taken a different path? The forest is getting darker.,4
Why does everything have to be such a hassle?! 😡,3
The fear of the dark has me sleeping with the lights on.,4
Watched my team come from behind to win the championship in the final seconds,1
What if I'm not strong enough to face the challenges that lie ahead?,4
holy cow! 🐮 i just won a dream vacation - 1-year world tour all expenses paid,5
i'm totally stunned by this unexpected proposal at the Eiffel Tower,5
i'm exhausted from trying to hold it all together,0
why won't this cloud of depression lift?,0
No words just pure shock,5
We share a connection that's truly special,2
The fear of rejection keeps me from pursuing my dreams.,4
Fear that my efforts r pointless,4
I'm terrified of being left behind in my personal and professional growth.,4
How hard is it to fix this? http://www.frustrationzone.com  😠,3
The thought of public speaking fills me with dread and anxiety.,4
Finally overcame a lifelong phobia and felt an incredible sense of freedom,1
This should have been fixed DAYS ago!!,3
I’m so lucky to be in love with you 💓,2
Even though there are billions of people in the world it's you I choose,2
I can't believe how careless this is!!!,3
Received an all-expenses-paid vacation from my company,1
Our love is forever no matter what,2
Your love is the fuel that keeps me going,2
Why do I even bother anymore?!! 😤,3
holy moly! i just got a surprise party for my 100th birthday,5
I’m so lucky to be in love with you now and always ❤,2
Fear that time is running out 2 fast ⏰,4
You make me feel like the luckiest person in the world,2
wow! 🎵 i didn't expect to love folk music so much,5
i'm absolutely gobsmacked by this coincidence - won lotto twice!,5
This is absolutely outrageous and I'm fuming!!! 😡,3
I luv u to the stars and beyond 🌟,2
i can't remember the last time i felt truly happy,0
I'm so happy I could hug the world 🌍,1
That really took me by surprise,5
You are the love of my life,2
I'm happier than a clam at high tide,1
You're my soulmate the one I’ve been waiting for,2
i'm exhausted from pretending everything's okay,0
i can't get over how delicious this food is - 5 michelin stars!,5
Happiness is contagious and I'm spreadin' it,1
I'm terrified of being judged and rejected by others.,4
i'm totally amazed by this natural phenomenon,5
Worried bout making wrong choices,4
whoa! i just solved a rubik's cube blindfolded in under 2 minutes,5
You're the one I've been searching for all my life 💖,2
i'm scared of never being good enough,0
I don't understand how you can mess up this badly!,3
i'm shocked at how quickly this problem was solved - 5-year project done in 6 months,5
I'm about to lose my mind with this nonsense!!,3
Can't belive how incompetent some ppl are.,3
Successfully completed a challenging obstacle course race,1
why does happiness feel like a foreign concept?,0
I'm so happy I could burst into confetti 🎉,1
wow! 🎭 i didn't expect to love improv so much - joined @SecondCity,5
wow! 🏅 i didn't expect to win this award - Nobel Prize in Literature,5
i'm totally stunned by this unexpected win - lottery odds were 1 in 302M,5
my soul is burdened with unspoken pain,0
Witnessed the first snowfall of the season and felt childlike wonder,1
Helped a stranger in need and realized the power of human kindness,1
My heart sings with happiness,1
Wow just wow so unexpected!,5
My hands are shaking as I reach for the doorknob.,4
I can't believe how many times I've had to repeat myself!,3
You are my happily ever after,2
I adore everything about you,2
why won't anyone understand how much i'm hurting?,0
I'm terrified of being stuck in a life that doesn't align with my true self.,4
Scared of getting old n being alone,4
STOP ignoring me!!!,3
i feel like i'm walking through life in slow motion,0
i'm astonished by how well this experiment worked - breakthrough in quantum physics,5
What if I cant protect my loved 1s,4
i'm lost in a forest of self-doubt,0
You are the love of my life no doubt about it,2
Scared of being misunderstood,4
You are my partner in crime and in love,2
Afrayd my parents r dissapointed in me,4
I'm so happy I could touch the sky,1
Unbelievable how bad http://www.fixitnow.com  this is. 😡,3
I'm terrified of making the wrong career choice.,4
I'm scared of being vulnerable and getting hurt in relationships again.,4
holy moly! i just got a full scholarship worth $200000,5
i can't get over how amazing this concert was - 4-hour set by @Beyonce,5
omg! 😮 i can't believe i'm going to be in a commercial for the Super Bowl,5
I can’t believe I’m dealing with this crap again!,3
i'm absolutely gobsmacked by this coincidence - won the lottery on my birthday,5
i'm trapped in a cycle of self-loathing,0
I'm floatin' on a cloud of joy,1
My heart belongs to you and no one else 💖,2
my soul is crying out for help,0
Check this out http://www.madness.com  it’s infuriating!!,3
why won't anyone see the pain behind my smile?,0
I'm scared of losing everyone I love and being left all alone.,4
omg! 😱 i can't believe i'm going hang gliding over the Grand Canyon,5
Why does nothing ever work right i want anser now quick ?!,3
I love the way you make me feel always special 💞,2
Can't wait to grow old with you and love you forever 💓,2
i can't get over how incredible this view is from Mount Kilimanjaro,5
Witnessed a beautiful display of unity in my community during tough times,1
I can’t believe how careless this is!!!,3
This was supposed to be SIMPLE but now look!!!,3
i can't find the strength to face another day,0
My heart belongs to you and no one else,2
why does life have to be such an uphill battle?,0
my heart is 💔 broken beyond repair,0
You light up my life like no one else 🌟,2
why won't anyone hear my silent cries?,0
Our love is like a beautiful dream come true,2
i can't stop the negative thoughts from coming,0
Do you even care how frustrating this is?!,3
i can't shake this feeling of being a burden,0
Helped a friend through a difficult time and saw them rediscover their joy,1
my soul feels empty and hollow,0
omg! 😮 i can't believe i got front row tickets to @BTS_twt,5
i'm totally amazed by this magic show - saw David Copperfield live,5
Afraid of living with regrets,4
Can’t wait to make more beautiful memories with you 💖,2
Can you please just get it right for once or i may kill you bitch ?!,3
i'm lost in a labyrinth of sadness,0
The thought of never finding my true purpose in life haunts me.,4
There's no one else I would rather be with than you i heartly support you,2
What if I'm not lovable enough to find lasting happiness?,4
My heart is doin' cartwheels of happiness,1
You're my person my other half,2
You are the sunshine on my rainiest days,2
Witnessed a random act of kindness that restored my faith in humanity,1
i'm utterly surprised by this unexpected twist in the final act,5
omg! 😮 i can't believe i just adopted a puppy from @ASPCA,5
You're my one true love and I’ll love you forever ❤,2
Fear that Im 2 different from others,4
STOP with the excuses just FIX IT!,3
The thought of losing my independence as I age scares me.,4
holy cow! 🐮 i just won a car - brand new Tesla Model 3!,5
holy moly! i just met my favorite celebrity @TaylorSwift13,5
I can't believe I wasted my time on this!,3
I'm so grateful to have you in my life 💖,2
This is absolutely outrageous and I'm fuming!!! 😡,3
my heart 💔 aches for all the pain in this world,0
my soul is crying out for connection,0
This is beyond ridiculous fix it now!!!,3
I'm ridin' the happiness express 🚂,1
This situation is a total joke!!!,3
i'm shocked at how quickly this skill improved,5
This is getting ridiculous fix it NOW!,3
What if I'm not strong enough to break free from toxic patterns?,4
You are the reason I wake up with a smile every day,2
I can't wait to make a lifetime of memories with you,2
Helped reunite a long-lost family member with their loved ones,1
omg! 😮 i can't believe i'm going to meet my hero @MichelleObama,5
Can't stop thinking of you ever since we met,2
i feel like i'm living in a world of shadows,0
What if I'm not capable of creating the life I truly desire and deserve?,4
my mind is a storm of negative emotions,0
Why can’t they just get it right for once?!,3
Reunited with an old friend after many years apart,1
whoa! i just broke my personal record - ran 5k in 18:32,5
You are my forever love story,2
i'm scared i'll never find true love 💔,0
I’ve had enough of this chaos. It's RIDICULOUS!!!,3
wow! 🎭 i didn't expect to love theater so much - saw Hamilton 10 times,5
I'm bouncing off the walls with joy,1
I'm terrified of flying - what if the plane crashes?,4
omg! 😱 i can't believe i'm going bungee jumping from 764 feet,5
Successfully completed a difficult home improvement project,1
Finally mastered a difficult dance routine I've been practicing for weeks,1
How many times do I have to say it?!,3
my mind is a storm of conflicting emotions,0
Received a heartfelt message from someone I inspired without realizing it,1
The ghostly figure in the mirror disappeared when I blinked.,4
i'm scared of never finding true connection,0
i feel so alone even in a crowded room,0
You seriously can't be this incompetent come ON!!! 😠,3
i'm absolutely gobsmacked by this coincidence - same bday as my idol,5
Watched my favorite sports team make a comeback victory,1
Happiness flows thru me like a river,1
With you every moment is magical ✨,2
Successfully completed a challenging project that seemed impossible at first,1
Fear of being stuck in elevater 😱,4
Why can’t they just get it right for once?!,3
i'm absolutely gobsmacked by this revelation in the 23andMe results,5
Wow did u just see that i can't believe you done for me suprise ?,5
I love you more than yesterday but less than tomorrow,2
I’m seriously DONE with this bs!! Can’t stand it!!!,3
I can't believe I have to deal with this again!,3
Seriously why is nothing ever done right here anger mood ?!,3
i'm trapped in a cycle of self-destruction,0
why does evryone else seem so happy?,0
Are you serious right now suprise?,5
Sometimes worry Im not smart enuff,4
Life is a party and I'm here 2 celebrate,1
What in the world is going on suprise baby now ?,5
i'm shocked at how quickly this problem was solved - 10-year mystery cracked in a day,5
Can't stop loving you no matter what 💖,2
I'm buzzin' with positive energy,1
Successfully trained my dog to do an impressive new trick,1
I can't even wrap my head around this,5
holy cow! 🐄 i just got a hole-in-one on a 450-yard par 5!,5
my heart is heavy with unspoken sorrows,0
why won't anyone understand how much i'm hurting?,0
You make me want to be a better person,2
This whole thing is a disaster and it's YOUR fault!!!,3
You people are driving me crazy with all this BS!!!,3
Finally conquered my fear of public speaking and gave a powerful presentation,1
Every time I log in something goes wrong!!,3
What if I never achieve my dreams and live a life of regret?,4
My reaction: 😳,5
Can't stop smilin' cuz life is good,1
I love you more than words can express it's a feeling that fills me with joy everyday,2
my mind is a storm of conflicting thoughts,0
omg! 😮 i can't believe i'm going to be in a music video,5
This is completely unacceptable I demand answers!,3
whoa! i just hit the bullseye 3 times in a row @Olympics archery,5
I'm scared of being betrayed by someone I trust.,4
Received a heartfelt apology that healed an old wound,1
Spyders crawling up my arm - I'm frozen in fear!,4
This service is absolutely pathetic fix it NOW!!!,3
I can't take this incompetence anymore. 😠,3
I fall asleep each night thinking of you,2
i feel like i'm trapped in a cycle of despair,0
With you life is perfect,2
You make me believe in soulmates,2
I'm so happy I could fly without wings,1
holy smokes! i just got a surprise promotion,5
This is beyond surprising!,5
Watched the sunrise from the top of a mountain after a night hike,1
I'm terrified of being caught in a natural disaster.,4
Why is everything so complicated with you ppl?,3
I'm seriously so angry right now!!!,3
my mind is a battlefield of insecurities,0
This is such a waste of my time!!!,3
I'm terrified of what might happen if I open this mysterious box.,4
Here's a collection of randomly created sentences expressing fear with the requested variations:,4
I can't take this any longer; it's ridiculous!!!,3
What if I'm not resilient enough to handle criticism and setbacks?,4
Our love story is still my favorite,2
Seriously get your act together i can kill you all for noting i am angry!!!,3
Worried bout climate change 🌍,4
Watched my child take their first steps and felt an indescribable joy,1
I can’t wait to grow old with you and love you every single day,2
I'm so frustrated it's unbelievable!!,3
Successfully quit a bad habit and feel healthier than ever,1
What the heck is wrong with ppl nowadays?!,3
You're the best thing that ever happened to me without a doubt ❤,2
i'm tired of pretending everything's okay 😔,0
What if I'm not resilient enough to bounce back from repeated failures?,4
i'm astonished by how beautiful this garden is - 10000 tulips in bloom,5
I'm terrified of being exposed as a fraud in my professional life.,4
You are my happily ever after,2
I'm scared of being alone with my thoughts for too long.,4
Your love fills my heart with joy and happiness,2
Afraid of not being acceptd,4
Life without you would be unimaginable ❤,2
my mind is a maze of confusing emotions,0
I'm blessed to have your love in my life,2
I'm scared of being overwhelmed by the pressures of adulting.,4
This is a total joke! Fix it now!!,3
What if I'm not capable of maintaining a healthy work-life balance?,4
Check this nonsense out http://www.frustrationzone.com  I'm furious!! 😠,3
Your smile lights up my entire world,2
i feel like i'm living in a world of grey,0
You make every day feel like Valentine's Day,2
i can't shake this feeling of being a failure,0
I'm DONE explaining the same thing OVER & OVER!!!,3
What if I'm not disciplined enough to achieve my goals?,4
That was a plot twist I didn’t expect!,5
With you I feel whole and complete,2
That came out of nowhere i can’t even locate any of them !,5
